close;high;low;open;time;volume
1.11174;1.11175;1.11125;1.11137;1724228400000;2311.34
1.11181;1.11182;1.1116;1.11173;1724229000000;1388.23
1.11222;1.11224;1.11175;1.11181;1724229600000;832.29
1.11184;1.11221;1.11182;1.11221;1724230200000;1209.91
1.11213;1.11218;1.11182;1.11183;1724230800000;818.68
1.11243;1.11243;1.11203;1.11213;1724231400000;823.93
1.11217;1.11253;1.11209;1.11248;1724232000000;1046.21
1.11162;1.11217;1.11155;1.11216;1724232600000;1426.69
1.11138;1.11193;1.11135;1.11163;1724233200000;1476.63
1.11169;1.11181;1.11133;1.11138;1724233800000;1229.03
1.1117;1.11177;1.11155;1.11168;1724234400000;1281.68
1.11204;1.11207;1.11164;1.11171;1724235000000;899.95
1.11241;1.11245;1.11203;1.11203;1724235600000;787.78
1.11219;1.11254;1.11217;1.1124;1724236200000;783.96
1.11248;1.11249;1.11218;1.11219;1724236800000;870.35
1.11248;1.11259;1.11232;1.11249;1724237400000;651.34
1.11182;1.11247;1.1117;1.11247;1724238000000;1915.28
1.11158;1.11181;1.11147;1.11181;1724238600000;1263.13
1.11138;1.11175;1.11138;1.1116;1724239200000;910.1
1.1111;1.11157;1.11109;1.11139;1724239800000;1707.41
1.11132;1.11132;1.111;1.11111;1724240400000;1468.69
1.11147;1.11159;1.11124;1.11133;1724241000000;852.39
1.11157;1.11173;1.11133;1.11149;1724241600000;1286.79
1.11193;1.11204;1.11152;1.11158;1724242200000;836.26
1.11217;1.11222;1.11187;1.11193;1724242800000;1427.04
1.11265;1.11283;1.11216;1.11218;1724243400000;1617.57
1.11241;1.11299;1.11235;1.11266;1724244000000;1603.92
1.11248;1.11261;1.11228;1.11241;1724244600000;1731.42
1.11231;1.11277;1.11231;1.11248;1724245200000;2453.12
1.11229;1.11256;1.11202;1.11231;1724245800000;2628.52
1.11209;1.11232;1.11186;1.1123;1724246400000;1635.04
1.11149;1.1122;1.11149;1.11207;1724247000000;2408.29
1.11157;1.11188;1.11113;1.11148;1724247600000;2443.74
1.11145;1.11169;1.11118;1.11156;1724248200000;2837.45
1.11063;1.11252;1.10992;1.11145;1724248800000;7229.73
1.11157;1.11272;1.11065;1.11065;1724249400000;5534.5
1.11216;1.11252;1.11114;1.11156;1724250000000;4151.49
1.11158;1.11277;1.1108;1.11214;1724250600000;5079.05
1.11281;1.11281;1.11155;1.11161;1724251200000;5516.59
1.11247;1.11298;1.11239;1.1128;1724251800000;4132.57
1.11289;1.11294;1.11244;1.11245;1724252400000;2626.62
1.11285;1.11298;1.11259;1.11289;1724253000000;1413.65
1.11372;1.11424;1.11281;1.11286;1724253600000;2237.43
1.1139;1.11416;1.11347;1.11371;1724254200000;2699.57
1.11456;1.1146;1.11381;1.1139;1724254800000;1665.32
1.1142;1.11476;1.11416;1.11454;1724255400000;2178.3
1.11441;1.11476;1.11415;1.11421;1724256000000;1537.58
1.11458;1.11476;1.11426;1.11441;1724256600000;1147.06
